726834.326,-21.77,-179.36,600,5.4
726834.617,-10.51,161.39,37,5.2
726834.672,-7.18,125.24,527,5.3
726834.723,-19.15,167.31,10,5.3
726834.752,6.83,-73.00,158,5.3
726835.059,8.34,127.44,41,5.6
726835.349,-3.43,145.95,33,5.1
726835.848,13.41,144.44,136,5.8
726835.902,-2.55,127.71,34,5.4
726837.231,-15.40,-172.85,54,6.5
726837.788,-41.60,85.28,10,5.1
726837.933,-3.16,148.46,33,5.1
726837.976,32.38,138.82,248,5.2
726838.303,41.84,-126.80,10,5.4
726838.424,-8.80,106.44,29,5.8
726838.544,-19.26,-69.53,109,5.5
726838.638,-4.06,-80.88,52,5.0
726838.769,18.86,-106.80,33,6.0
726839.155,8.34,126.66,33,5.1
726839.906,-10.68,92.99,15,6.0
726840.323,8.17,126.80,28,5.0
726840.380,-15.95,-74.25,48,5.5
726840.562,41.52,142.05,70,5.4
726840.587,-11.85,166.56,164,5.1
726840.870,-32.16,57.45,10,5.3
726841.179,-18.05,-172.71,33,5.0
726841.341,9.16,127.00,43,5.2
726841.462,-24.37,179.10,518,5.0
726841.519,-24.06,179.37,573,5.0
726841.541,7.89,126.50,88,5.1
726841.796,13.25,143.88,141,5.1
726841.823,52.04,-169.45,33,6.0
726841.841,52.04,-169.35,33,5.0
726841.903,46.41,152.37,55,5.0
726842.104,28.23,88.16,79,5.5
726842.207,49.23,-170.07,180,5.8
726842.207,51.96,-169.38,33,5.8
726842.613,-21.74,-179.40,604,5.3
726842.650,11.59,95.02,33,5.7
726842.780,-19.88,168.03,34,5.0
726842.786,24.75,95.24,119,6.3
726842.798,18.07,-64.75,33,5.0
726843.124,5.65,-75.78,62,5.0
726843.131,39.65,143.29,34,5.7
726843.133,39.71,143.31,37,5.8
726843.276,24.52,94.68,87,5.2
726843.421,-52.19,13.51,10,5.4
726843.431,-24.62,-175.34,77,5.0
726843.495,11.65,95.14,33,5.9
726843.549,52.12,-169.24,33,5.5
726843.675,-10.07,123.82,33,5.5
726843.770,-10.44,124.20,77,5.0
726844.176,-17.43,-178.95,553,5.0
726844.284,-25.90,-174.08,33,5.0
726844.808,-40.79,78.24,10,5.2
726844.850,-5.17,150.98,188,5.1
726844.885,35.79,80.76,10,5.3
726845.142,12.67,-87.49,86,5.6
726845.645,4.98,126.51,62,5.7
726845.765,-22.23,-69.92,42,5.0
726845.786,-32.39,-179.71,83,5.0
726845.929,53.90,-131.42,10,5.3
726846.089,16.83,-99.51,28,5.3
726846.147,12.66,125.04,36,5.2
726846.469,15.78,147.22,40,5.0
726846.629,4.65,125.13,216,5.0
726846.710,-18.26,-175.96,272,5.2
726846.772,15.79,147.21,48,5.1
726846.836,-10.17,117.83,36,5.3
726846.837,27.60,-115.09,10,5.1
726846.846,-10.81,166.01,47,5.4
726846.912,0.27,122.02,193,5.3
